wav_filename,sentence,char_count
common_voice_pt_19273358.wav,Estamos aqui para pedir emprestado,34
common_voice_pt_19273359.wav,Graças a Deus você está aqui!,29
common_voice_pt_19273360.wav,Precisamos nos apressar.,24
common_voice_pt_19273362.wav,A necessidade é o pai na inovação.,34
common_voice_pt_19275111.wav,Você poderia ter morrido depois que a paz fosse declarada.,58
common_voice_pt_19275112.wav,Esta frase está no meu ouvido,29
common_voice_pt_19275113.wav,Os ciclistas pararam e estão falando sobre algo.,48
common_voice_pt_19275114.wav,Este trabalho já começou,24
common_voice_pt_19275115.wav,O esposo dela é engenheiro.,27
common_voice_pt_19276292.wav,Alguém pode atender o telefone?,31
common_voice_pt_19276293.wav,Ter um plano de longo prazo,27
common_voice_pt_19276294.wav,Nós não temos relação de sangue,31
common_voice_pt_19276295.wav,Tudo estava sincronizado,24
common_voice_pt_19276296.wav,Projetor de tela.,17
common_voice_pt_19276297.wav,A alça da taça está quebrada.,29
common_voice_pt_19276298.wav,"Ela nasceu em Phoenix, Arizona.",31
common_voice_pt_19276300.wav,O árabe aceitou-os sem uma palavra.,35
common_voice_pt_19276301.wav,O festival de arte foi um desastre.,35
common_voice_pt_19276313.wav,Olá,3
common_voice_pt_19276314.wav,Eu olhei para ela.,18
common_voice_pt_19276315.wav,Não é um pouco cheio?,21
common_voice_pt_19276316.wav,Não é o dinheiro.,17
common_voice_pt_19276317.wav,Eu não caí dentro,17
common_voice_pt_19277032.wav,Haverá pontos para descansar e sentar,37
common_voice_pt_19277033.wav,Um homem de calças e uma camisa azul está andando nas sombras da natureza.,74
common_voice_pt_19277034.wav,Altere o dispositivo de saída de áudio.,39
common_voice_pt_19277035.wav,Zumbis estavam desfilando nas ruas e bebendo cerveja em copos de papel.,71
common_voice_pt_19277036.wav,Nós ignoramos os outros pais que não falam francês.,51
common_voice_pt_19277037.wav,"Até a data-limite, prevista no tratado, vários mísseis foram destruídos.",72
common_voice_pt_19277038.wav,Todo mundo quieto e pronto para uma emergência.,47
common_voice_pt_19277039.wav,O discurso continuará.,22
common_voice_pt_19277040.wav,Somos grandes fãs do nosso clube de futebol.,44
common_voice_pt_19277041.wav,Eu balancei a cabeça.,21
common_voice_pt_19277042.wav,Adicione The Cranberries Zombie a playlist de clássicas.,56
common_voice_pt_19277044.wav,Um cinegrafista filmando um jogo de basquete.,45
common_voice_pt_19277045.wav,Manter a conservação ecológica,30
common_voice_pt_19277046.wav,Não seja bobo.,14
common_voice_pt_19277047.wav,Ajude meu filho,15
common_voice_pt_19277048.wav,Embora o sol seja muito grande,30
common_voice_pt_19277049.wav,"Antes de você desistir, tente de novo",37
common_voice_pt_19277050.wav,Cerca de um em vinte.,21
common_voice_pt_19277051.wav,O Facebook tem muitos problemas de privacidade.,47
common_voice_pt_19277052.wav,Reencha um copo de graça,24
common_voice_pt_19277053.wav,"De repente, ele sentiu-se tremendamente feliz.",46
common_voice_pt_19277054.wav,Você acabou de dar um tapinha nele.,35
common_voice_pt_19277055.wav,Não pode mudar de carro a cada ano,34
common_voice_pt_19277056.wav,Bem o horário do filme.,23
common_voice_pt_19277057.wav,Você não chama isso de conveniência!,36
common_voice_pt_19277058.wav,Existe realmente nenhum tipo de controle de acesso obrigatório?,63
common_voice_pt_19277059.wav,Até os potes na prateleira estão inclinados e as pessoas não.,61
common_voice_pt_19277060.wav,Ele é um grande noma da poesia brasileira.,42
common_voice_pt_19277061.wav,"Matheus, Davi e Bruno eram colegas de turma.",44
